One-way Ticket (Local Transport),Monthly Pass (Regular Price),Gasoline (1 liter),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Country,Capital
1.16,56.96,1.96,2.78,0.98,11.8, Hong Kong,Hong Kong
2.25,89.85,0.77,2.7,1.45,29.2, United States,"Portland, OR"
1.5,40.0,1.56,3.48,0.47,14.8, Portugal,Lisbon
0.52,24.74,0.93,1.69,0.3,5.21, China,Beijing
0.93,26.47,0.98,1.25,0.62,3.11, South Africa,Cape Town
0.33,13.13,1.46,2.05,2.0,12.31, Albania,Tirana
1.27,31.0,1.53,3.5,0.48,14.8, Portugal,Porto
0.93,23.35,0.97,1.17,0.75,4.36, South Africa,Durban
1.05,28.46,1.19,2.1,0.9,13.48, Hungary,Budapest
1.0,29.0,1.2,1.0,0.6,8.0, Lithuania,Vilnius
1.88,50.2,1.01,1.25,0.72,6.27, South Africa,Johannesburg
2.15,50.0,1.33,2.5,1.15,22.1, Spain,Barcelona
2.25,64.69,0.92,2.52,1.67,22.46, United States,"San Diego, CA"
2.47,72.78,0.95,3.14,1.95,29.65, United States,"San Francisco, CA"
0.41,23.2,1.04,1.97,1.36,5.43, Peru,Lima
2.47,88.95,0.84,2.34,1.51,26.95, United States,"Seattle, WA"
0.52,17.77,1.2,0.42,0.43,4.18, Romania,Brasov
0.27,10.47,1.2,0.42,0.42,3.98, Romania,Bucharest
0.13,13.48,0.46,0.54,0.18,2.31, Uzbekistan,Tashkent
0.25,5.06,0.91,0.63,0.19,0.89, India,Ahmedabad
0.52,14.64,1.21,0.52,0.48,4.75, Romania,Cluj-Napoca
1.5,54.6,1.34,3.0,1.1,23.5, Spain,Madrid
2.0,23.0,1.35,2.5,0.5,10.5, Estonia,Tallinn
0.38,15.82,0.98,0.63,0.23,0.76, India,Bangalore
0.52,16.74,1.19,0.52,0.52,5.23, Romania,Iasi
0.25,12.66,0.98,1.27,0.19,0.76, India,Chennai
0.74,37.0,0.48,2.47,0.47,7.92, Qatar,Doha
0.38,12.66,0.94,0.63,0.19,0.76, India,Delhi
